product_id,stock_level,movement_date,_fivetran_deleted,_fivetran_synced
2001,25,2025-06-25,FALSE,2025-06-25 09:00:00
2003,50,2025-06-25,FALSE,2025-06-25 09:00:00
2004,0,2025-06-24,FALSE,2025-06-25 09:00:00
2005,15,2025-06-20,FALSE,2025-06-25 09:00:00
2006,75,2025-06-23,FALSE,2025-06-25 09:00:00
2007,60,2025-06-01,FALSE,2025-06-25 09:00:00
2008,-10,2025-06-22,FALSE,2025-06-25 09:00:00
2009,35,2025-06-21,TRUE,2025-06-25 09:00:00
2010,20,2025-06-18,TRUE,2025-06-25 09:00:00
2011,,2025-06-17,FALSE,2025-06-25 09:00:00
2012,40,,FALSE,2025-06-25 09:00:00
2013,30,2026-01-01,FALSE,2025-06-25 09:00:00
2014,45,2015-05-10,FALSE,2025-06-25 09:00:00
2001,28,2025-06-26,FALSE,2025-06-26 09:00:00
2003,55,2025-06-27,FALSE,2025-06-26 09:00:00
