order_id,product_id,quantity,unit_price,promotion_applied,_fivetran_deleted,_fivetran_synced
1001,2001,3,95.0,TRUE,FALSE,2025-06-25 09:00:00
1001,2003,1,80.0,TRUE,FALSE,2025-06-25 09:00:00
1002,2004,2,120.0,FALSE,FALSE,2025-06-25 09:00:00
1003,2005,5,60.0,FALSE,FALSE,2025-06-25 09:00:00
1004,2006,1,150.0,TRUE,FALSE,2025-06-25 09:00:00
1005,2007,0,110.0,FALSE,FALSE,2025-06-25 09:00:00
1006,2008,-2,50.0,FALSE,FALSE,2025-06-25 09:00:00
1007,2009,4,45.0,TRUE,TRUE,2025-06-25 09:00:00
1008,2010,3,70.0,FALSE,TRUE,2025-06-25 09:00:00
1009,2011,,85.0,FALSE,FALSE,2025-06-25 09:00:00
1010,2012,2,,TRUE,FALSE,2025-06-25 09:00:00
1011,2013,1,99.9,TRUE,FALSE,2026-01-01 00:00:00
1012,2014,6,105.0,FALSE,FALSE,2015-05-10 09:00:00
1013,2001,2,95.0,TRUE,FALSE,2025-06-26 09:00:00
1013,2003,1,80.0,TRUE,FALSE,2025-06-26 09:00:00
