promotion_id,description,is_active,_fivetran_deleted,_fivetran_synced
3001,Summer Sale,TRUE,FALSE,2025-06-25 09:00:00
3002,Clearance,TRUE,FALSE,2025-06-25 09:00:00
3003,Black Friday,TRUE,FALSE,2025-06-25 09:00:00
3004,Cyber Monday,FALSE,FALSE,2025-06-25 09:00:00
3005,New Year Promo,TRUE,FALSE,2025-06-25 09:00:00
3006,Flash Sale,FALSE,TRUE,2025-06-25 09:00:00
3007,,TRUE,FALSE,2025-06-25 09:00:00
3008,Back to School,,FALSE,2025-06-25 09:00:00
3009,Holiday Special,TRUE,FALSE,2026-01-01 00:00:00
3010,Old Promo,FALSE,FALSE,2019-12-31 12:00:00

